"INCITS","County or equivalent","State or district","Pop Rank","2013 Pop","Core Based Statistical Area","Combined Statistical Area"
"36117","Wayne County","New York","628","92,473","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
"36119","Westchester County","New York","47","968,802","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36121","Wyoming County","New York","1140","41,531","",""
"36123","Yates County","New York","1603","25,156","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
"37001","Alamance County","North Carolina","411","154,378","Burlington, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
"37003","Alexander County","North Carolina","1248","36,930","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
"37005","Alleghany County","North Carolina","2363","10,939","",""
"37007","Anson County","North Carolina","1558","26,161","",""
"37009","Ashe County","North Carolina","1527","27,151","",""
"37011","Avery County","North Carolina","1936","17,713","",""
"37013","Beaufort County","North Carolina","1021","47,464","Washington, NC Micropolitan Statistical Area","Greenville-Washington, NC Combined Statistical Area"
"37015","Bertie County","North Carolina","1822","20,344","",""
"37017","Bladen County","North Carolina","1303","34,843","",""
"37019","Brunswick County","North Carolina","525","115,301","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area","Myrtle Beach-Conway, SC-NC Combined Statistical Area"
"37021","Buncombe County","North Carolina","265","247,912","Asheville, NC Metropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
"37023","Burke County","North Carolina","639","89,842","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
"37025","Cabarrus County","North Carolina","340","187,226","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
"37027","Caldwell County","North Carolina","677","81,990","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
"37029","Camden County","North Carolina","2423","10,187","Elizabeth City, NC Micropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
"37031","Carteret County","North Carolina","776","68,434","Morehead City, NC Micropolitan Statistical Area","New Bern-Morehead City, NC Combined Statistical Area"
"37033","Caswell County","North Carolina","1680","23,190","",""
"37035","Catawba County","North Carolina","408","154,810","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
"37037","Chatham County","North Carolina","793","66,817","Durham-Chapel Hill, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
"37039","Cherokee County","North Carolina","1522","27,218","",""
"37041","Chowan County","North Carolina","2123","14,726","",""
"37043","Clay County","North Carolina","2388","10,584","",""
"37045","Cleveland County","North Carolina","604","97,047","Shelby, NC Micropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
"37047","Columbus County","North Carolina","892","57,246","",""
"37049","Craven County","North Carolina","565","104,489","New Bern, NC Metropolitan Statistical Area","New Bern-Morehead City, NC Combined Statistical Area"
"37051","Cumberland County","North Carolina","202","325,871","Fayetteville, NC Metropolitan Statistical Area","Fayetteville-Lumberton-Laurinburg, NC Combined Statistical Area"
"37053","Currituck County","North Carolina","1627","24,396","Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
"37055","Dare County","North Carolina","1300","35,019","Kill Devil Hills, NC Micropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
"37057","Davidson County","North Carolina","387","163,420","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
"37059","Davie County","North Carolina","1139","41,554","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
"37061","Duplin County","North Carolina","865","60,084","",""
"37063","Durham County","North Carolina","232","288,133","Durham-Chapel Hill, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
"37065","Edgecombe County","North Carolina","907","55,574","Rocky Mount, NC Metropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
"37067","Forsyth County","North Carolina","186","361,220","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
"37069","Franklin County","North Carolina","839","62,260","Raleigh, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
